iter	Passed	Remaining
405	7108	27910
406	7125	27888
407	7170	27978
408	7183	27944
409	7198	27914
410	7212	27884
411	7223	27842
412	7234	27799
413	7244	27754
414	7256	27714
415	7268	27677
416	7285	27655
417	7302	27636
418	7322	27631
419	7342	27622
420	7359	27601
421	7375	27577
422	7388	27543
423	7403	27517
424	7432	27542
425	7446	27513
426	7461	27486
427	7481	27478
428	7498	27461
429	7517	27449
430	7534	27427
431	7574	27492
432	7596	27491
433	7612	27467
434	7626	27438
435	7640	27407
436	7654	27376
437	7669	27349
438	7684	27323
439	7696	27286
440	7712	27263
441	7800	27495
442	7841	27559
443	7862	27552
444	7885	27554
445	7901	27531
446	7917	27506
447	7933	27484
448	7949	27461
449	7965	27436
450	7980	27409
451	7992	27373
452	8006	27341
453	8021	27315
454	8034	27282
455	8047	27249
456	8060	27216
457	8073	27180
458	8087	27151
459	8104	27132
460	8128	27135
461	8146	27119
462	8186	27175
463	8203	27155
464	8216	27122
465	8230	27093
466	8244	27063
467	8257	27031
468	8271	27000
469	8285	26973
470	8301	26948
471	8316	26922
472	8333	26904
473	8352	26889
474	8370	26875
475	8387	26853
476	8400	26820
477	8413	26788
478	8427	26760
479	8444	26740
480	8457	26709
481	8473	26686
482	8488	26659
483	8502	26631
484	8520	26615
485	8539	26602
486	8555	26580
487	8575	26570
488	8594	26555
489	8609	26531
490	8623	26503
491	8636	26470
492	8649	26439
493	8664	26413
494	8678	26387
495	8692	26358
496	8707	26332
497	8724	26314
498	8746	26309
499	8761	26285
500	8778	26264
501	8845	26395
502	8873	26407
503	8894	26400
504	8942	26471
505	8961	26459
506	8985	26461
507	9000	26435
508	9014	26404
509	9026	26372
510	9043	26350
511	9058	26325
512	9072	26296
513	9089	26277
514	9110	26271
515	9124	26241
516	9138	26214
517	9152	26184
518	9169	26164
519	9183	26138
520	9202	26124
521	9221	26109
522	9235	26081
523	9247	26049
524	9261	26019
525	9275	25993
526	9291	25969
527	9307	25948
528	9321	25920
529	9337	25899
530	9354	25879
531	9371	25861
532	9390	25844
533	9436	25905
534	9451	25882
535	9469	25864
536	9482	25834
537	9497	25807
538	9509	25777
539	9527	25758
540	9541	25731
541	9557	25710
542	9572	25685
543	9586	25659
544	9604	25641
545	9622	25625
546	9638	25604
547	9656	25585
548	9669	25555
549	9682	25525
550	9696	25499
551	9713	25480
552	9727	25453
553	9742	25429
554	9756	25402
555	9769	25373
556	9786	25354
557	9803	25334
558	9824	25325
559	9842	25308
560	9859	25289
561	9874	25266
562	9889	25241
563	9904	25217
564	9920	25197
565	9937	25178
566	9954	25159
567	9971	25140
568	9987	25117
569	10002	25094
570	10019	25075
571	10047	25082
572	10080	25103
573	10103	25099
574	10125	25094
575	10152	25099
576	10181	25108
577	10196	25085
578	10219	25081
579	10237	25064
580	10251	25038
581	10269	25021
582	10285	24999
583	10300	24975
584	10313	24946
585	10326	24917
586	10340	24890
587	10358	24875
588	10374	24852
589	10390	24831
590	10406	24811
591	10428	24802
592	10445	24784
593	10477	24800
594	10497	24787
595	10511	24762
596	10525	24735
597	10538	24707
598	10556	24690
599	10573	24672
600	10588	24647
601	10603	24623
602	10616	24596
603	10632	24574
604	10649	24555
605	10666	24536
606	10684	24518
607	10700	24497
608	10715	24474
609	10731	24454
610	10746	24429
611	10762	24408
612	10776	24383
613	10791	24359
614	10806	24337
615	10820	24311
616	10838	24293
617	10854	24273
618	10870	24252
619	10886	24231
620	10924	24259
621	10939	24234
622	10953	24210
623	10967	24185
624	10980	24156
625	10996	24136
626	11014	24120
627	11035	24108
628	11064	24116
629	11076	24086
630	11089	24060
631	11105	24038
632	11326	24459
633	11400	24562
634	11444	24600
635	11457	24571
636	11486	24577
637	11502	24555
638	11517	24531
639	11531	24505
640	11543	24474
641	11559	24450
642	11572	24422
643	11588	24400
644	11604	24378
645	11619	24353
646	11632	24326
647	11650	24308
648	11664	24281
649	11679	24258
650	11694	24232
651	11711	24214
652	11728	24192
653	11741	24165
654	11755	24138
655	11767	24109
656	11779	24078
657	11792	24050
658	11805	24023
659	11818	23994
660	11831	23966
661	11845	23940
662	11857	23911
663	11869	23882
664	11880	23850
665	11892	23820
666	11904	23791
667	11918	23764
668	11928	23731
669	11941	23704
670	11957	23683
671	11973	23661
672	11988	23637
673	12003	23614
674	12017	23590
675	12050	23601
676	12070	23588
677	12081	23556
678	12093	23527
679	12104	23496
680	12116	23468
681	12129	23441
682	12140	23409
683	12151	23378
684	12163	23350
685	12175	23320
686	12187	23292
687	12203	23271
688	12219	23250
689	12236	23230
690	12250	23206
691	12264	23182
692	12278	23158
693	12292	23133
694	12307	23109
695	12320	23084
696	12338	23065
697	12352	23041
698	12368	23020
699	12382	22996
700	12397	22973
701	12441	23003
702	12500	23063
703	12525	23057
704	12548	23049
705	12571	23040
706	12589	23024
707	12609	23010
708	12635	23007
709	12661	23003
710	12677	22983
711	12693	22962
712	12710	22943
713	12724	22918
714	12739	22895
715	12753	22870
716	12770	22851
717	12786	22829
718	12799	22803
719	12814	22781
720	12828	22757
721	12841	22730
722	12855	22705
723	12869	22682
724	12883	22656
725	12896	22631
726	12911	22609
727	12941	22612
728	12956	22589
729	12968	22562
730	12979	22532
731	12990	22502
732	13001	22473
733	13016	22451
734	13028	22424
735	13041	22397
736	13055	22374
737	13069	22348
738	13081	22321
739	13092	22292
740	13101	22260
741	13114	22235
742	13128	22210
743	13139	22181
744	13151	22154
745	13165	22130
746	13178	22105
747	13191	22080
748	13207	22059
749	13222	22037
750	13238	22016
751	13257	22001
752	13309	22041
753	13352	22064
754	13384	22071
755	13402	22053
756	13419	22035
757	13443	22026
758	13458	22005
759	13474	21985
760	13495	21972
761	13513	21954
762	13529	21934
763	13544	21912
764	13558	21888
765	13574	21867
766	13589	21846
767	13605	21826
768	13621	21805
769	13637	21784
770	13654	21765
771	13670	21745
772	13688	21728
773	13704	21707
774	13720	21686
775	13735	21664
776	13751	21644
777	13766	21623
778	13781	21601
779	13798	21582
780	13816	21565
781	13834	21547
782	13851	21528
783	13869	21512
784	13906	21523
785	13923	21505
786	13935	21478
787	13950	21456
788	13960	21427
789	13970	21397
790	13989	21381
791	14001	21356
792	14018	21336
793	14031	21311
794	14047	21292
795	14074	21288
796	14093	21272
797	14114	21260
798	14130	21239
799	14146	21219
800	14161	21198
801	14174	21173
802	14189	21151
803	14208	21135
804	14224	21115
805	14236	21090
806	14255	21073
807	14267	21048
808	14283	21028
809	14298	21005
810	14313	20985
811	14327	20962
812	14346	20946
813	14360	20923
814	14377	20905
815	14393	20884
816	14407	20861
817	14421	20838
818	14435	20815
819	14450	20794
820	14468	20777
821	14520	20808
822	14549	20807
823	14583	20812
824	14615	20816
825	14650	20823
826	14664	20799
827	14692	20796
828	14709	20777
829	14721	20752
830	14735	20728
831	14749	20706
832	14764	20684
833	14780	20664
834	14795	20643
835	14810	20621
836	14824	20597
837	14839	20576
838	14857	20559
839	14871	20537
840	14884	20513
841	14903	20496
842	14921	20479
843	14939	20462
844	14962	20452
845	15012	20477
846	15024	20451
847	15036	20427
848	15049	20403
849	15062	20378
850	15076	20356
851	15091	20333
852	15106	20312
853	15121	20291
854	15137	20272
855	15155	20253
856	15170	20232
857	15184	20210
858	15198	20188
859	15216	20170
860	15231	20149
861	15245	20126
862	15260	20105
863	15274	20083
864	15289	20062
865	15306	20043
866	15324	20025
867	15344	20011
868	15360	19991
869	15405	20009
870	15420	19987
871	15438	19970
872	15455	19951
873	15470	19931
874	15488	19913
875	15504	19893
876	15519	19873
877	15535	19852
878	15558	19841
879	15578	19826
880	15594	19806
881	15613	19790
882	15633	19776
883	15653	19762
884	15667	19738
885	15680	19715
886	15699	19699
887	15715	19680
888	15731	19659
889	15748	19641
890	15769	19628
891	15785	19607
892	15799	19585
893	15816	19567
894	15835	19550
895	15852	19532
896	15869	19513
897	15890	19500
898	15917	19494
899	15940	19483
900	15958	19465
901	16020	19501
902	16038	19483
903	16054	19464
904	16091	19469
905	16115	19459
906	16137	19447
907	16158	19432
908	16175	19414
909	16194	19397
910	16212	19380
911	16227	19358
912	16247	19344
913	16265	19325
914	16288	19314
915	16308	19300
916	16322	19277
917	16339	19258
918	16357	19240
919	16375	19223
920	16395	19207
921	16425	19204
922	16455	19200
923	16479	19190
924	16504	19180
925	16528	19170
926	16547	19154
927	16565	19136
928	16584	19119
929	16600	19099
930	16616	19079
931	16629	19056
932	16642	19032
933	16655	19008
934	16667	18984
935	16685	18967
936	16701	18946
937	16717	18927
938	16730	18904
939	16750	18888
940	16766	18869
941	16788	18855
942	16809	18841
943	16826	18822
944	16844	18805
945	16858	18782
946	16872	18761
947	16888	18741
948	16901	18717
949	16916	18697
950	16936	18681
951	16949	18658
952	16963	18636
953	16977	18614
954	16994	18596
955	17008	18573
956	17050	18582
957	17064	18560
958	17078	18538
959	17105	18531
960	17131	18522
961	17152	18507
962	17180	18500
963	17202	18487
964	17222	18471
965	17239	18452
966	17252	18430
967	17268	18410
968	17281	18387
969	17293	18363
970	17306	18340
971	17318	18316
972	17332	18293
973	17347	18273
974	17362	18253
975	17379	18233
976	17398	18217
977	17415	18199
978	17464	18213
979	17481	18194
980	17491	18168
981	17497	18138
982	17503	18108
983	17509	18078
984	17518	18052
985	17524	18021
986	17530	17992
987	17536	17962
988	17542	17932
989	17547	17902
990	17552	17871
991	17557	17840
992	17562	17809
993	17567	17779
994	17573	17750
995	17578	17719
996	17584	17690
997	17590	17660
998	17595	17630
999	17600	17600
1000	17605	17570
1001	17610	17540
1002	17616	17510
1003	17621	17480
1004	17627	17451
1005	17632	17421
1006	17636	17391
1007	17641	17360
1008	17645	17330
1009	17649	17300
1010	17654	17269
1011	17658	17239
1012	17664	17210
1013	17669	17181
1014	17674	17151
1015	17679	17122
1016	17686	17095
1017	17691	17065
1018	17696	17036
1019	17700	17006
1020	17705	16976
1021	17709	16947
1022	17715	16919
1023	17721	16890
1024	17727	16862
1025	17735	16836
1026	17743	16810
1027	17749	16782
1028	17757	16756
1029	17765	16730
1030	17771	16703
1031	17777	16674
1032	17781	16645
1033	17787	16617
1034	17794	16591
1035	17801	16564
1036	17807	16537
1037	17814	16510
1038	17821	16483
1039	17829	16457
1040	17835	16430
1041	17840	16402
1042	17846	16374
1043	17852	16347
1044	17859	16321
1045	17866	16295
1046	17874	16270
1047	17883	16245
1048	17891	16220
1049	17900	16195
1050	17915	16177
1051	17930	16157
1052	17939	16134
1053	17951	16111
1054	17963	16090
1055	17975	16069
1056	17985	16045
1057	17994	16021
1058	18002	15996
1059	18021	15981
1060	18040	15965
1061	18048	15941
1062	18059	15918
1063	18067	15894
1064	18075	15869
1065	18084	15845
1066	18092	15820
1067	18099	15794
1068	18106	15768
1069	18111	15742
1070	18118	15715
1071	18124	15690
1072	18130	15663
1073	18136	15637
1074	18142	15611
1075	18149	15585
1076	18157	15560
1077	18165	15537
1078	18173	15512
1079	18180	15486
1080	18187	15461
1081	18193	15436
1082	18202	15412
1083	18209	15386
1084	18216	15362
1085	18224	15338
1086	18231	15313
1087	18238	15288
1088	18244	15262
1089	18252	15238
1090	18259	15213
1091	18265	15188
1092	18276	15166
1093	18285	15143
1094	18293	15119
1095	18299	15093
1096	18306	15068
1097	18313	15044
1098	18321	15020
1099	18326	14994
1100	18333	14969
1101	18339	14944
1102	18345	14919
1103	18351	14893
1104	18357	14868
1105	18364	14844
1106	18371	14819
1107	18378	14796
1108	18387	14772
1109	18399	14752
1110	18411	14732
1111	18423	14712
1112	18435	14692
1113	18448	14672
1114	18456	14649
1115	18478	14637
1116	18486	14613
1117	18502	14597
1118	18511	14574
1119	18517	14549
1120	18524	14525
1121	18531	14501
1122	18536	14475
1123	18542	14451
1124	18547	14425
1125	18552	14400
1126	18558	14375
1127	18564	14351
1128	18569	14325
1129	18576	14301
1130	18583	14278
1131	18590	14254
1132	18597	14230
1133	18602	14206
1134	18610	14183
1135	18618	14160
1136	18625	14136
1137	18632	14113
1138	18639	14089
1139	18645	14066
1140	18654	14044
1141	18663	14022
1142	18670	13998
1143	18677	13975
1144	18685	13953
1145	18693	13930
1146	18699	13906
1147	18706	13883
1148	18712	13859
1149	18717	13834
1150	18723	13810
1151	18729	13786
1152	18740	13766
1153	18752	13747
1154	18765	13728
1155	18775	13708
1156	18786	13688
1157	18793	13664
1158	18798	13641
1159	18811	13621
1160	18818	13599
1161	18823	13574
1162	18829	13551
1163	18834	13527
1164	18840	13503
1165	18855	13486
1166	18860	13462
1167	18864	13437
1168	18870	13414
1169	18875	13390
1170	18879	13365
1171	18884	13341
1172	18889	13317
1173	18900	13297
1174	18907	13275
1175	18912	13251
1176	18920	13230
1177	18927	13207
1178	18935	13185
1179	18941	13162
1180	18946	13138
1181	18952	13116
1182	18957	13092
1183	18962	13068
1184	18969	13046
1185	18974	13022
1186	18981	13000
1187	18987	12978
1188	18993	12955
1189	18999	12932
1190	19006	12910
1191	19014	12889
1192	19021	12867
1193	19028	12845
1194	19036	12823
1195	19046	12803
1196	19056	12783
1197	19063	12761
1198	19069	12739
1199	19074	12716
1200	19079	12693
1201	19084	12670
1202	19089	12647
1203	19094	12624
1204	19100	12601
1205	19105	12578
1206	19111	12556
1207	19118	12534
1208	19125	12512
1209	19132	12491
1210	19150	12477
1211	19157	12455
1212	19164	12433
1213	19170	12411
1214	19174	12388
1215	19181	12366
1216	19186	12344
1217	19192	12322
1218	19200	12301
1219	19206	12279
1220	19214	12258
1221	19225	12239
1222	19232	12218
1223	19268	12215
1224	19280	12198
1225	19288	12177
1226	19302	12160
1227	19313	12141
1228	19322	12121
1229	19333	12103
1230	19347	12086
1231	19358	12067
1232	19367	12047
1233	19375	12027
1234	19382	12006
1235	19389	11985
1236	19397	11964
1237	19404	11943
1238	19411	11922
1239	19419	11902
1240	19427	11882
1241	19437	11862
1242	19449	11844
1243	19458	11825
1244	19465	11804
1245	19471	11782
1246	19477	11761
1247	19483	11740
1248	19490	11719
1249	19496	11697
1250	19502	11676
1251	19507	11654
1252	19513	11633
1253	19519	11612
1254	19525	11590
1255	19529	11568
1256	19535	11547
1257	19543	11527
1258	19549	11506
1259	19556	11485
1260	19562	11464
1261	19568	11443
1262	19574	11422
1263	19580	11401
1264	19587	11380
1265	19594	11360
1266	19602	11340
1267	19610	11320
1268	19617	11300
1269	19624	11279
1270	19628	11258
1271	19634	11237
1272	19640	11216
1273	19647	11196
1274	19661	11179
1275	19670	11161
1276	19676	11140
1277	19682	11119
1278	19688	11098
1279	19693	11077
1280	19699	11056
1281	19705	11036
1282	19710	11015
1283	19718	10995
1284	19723	10974
1285	19730	10954
1286	19736	10934
1287	19744	10914
1288	19754	10896
1289	19762	10877
1290	19769	10857
1291	19778	10838
1292	19788	10820
1293	19797	10801
1294	19805	10781
1295	19818	10765
1296	19829	10747
1297	19839	10729
1298	19853	10713
1299	19874	10701
1300	19889	10686
1301	19899	10668
1302	19909	10649
1303	19917	10630
1304	19924	10611
1305	19932	10591
1306	19939	10572
1307	19947	10553
1308	19955	10533
1309	19961	10514
1310	19968	10494
1311	19977	10476
1312	19985	10456
1313	19993	10437
1314	19999	10418
1315	20008	10399
1316	20015	10380
1317	20024	10361
1318	20032	10342
1319	20042	10325
1320	20119	10341
1321	20137	10327
1322	20146	10309
1323	20154	10290
1324	20161	10271
1325	20168	10251
1326	20175	10232
1327	20181	10212
1328	20187	10192
1329	20194	10173
1330	20201	10154
1331	20208	10134
1332	20214	10114
1333	20220	10095
1334	20225	10074
1335	20230	10054
1336	20236	10034
1337	20242	10015
1338	20247	9995
1339	20256	9977
1340	20262	9957
1341	20268	9937
1342	20273	9917
1343	20278	9897
1344	20284	9878
1345	20289	9858
1346	20294	9838
1347	20301	9819
1348	20305	9799
1349	20311	9779
1350	20316	9759
1351	20321	9739
1352	20326	9720
1353	20333	9701
1354	20339	9681
1355	20347	9663
1356	20352	9643
1357	20358	9624
1358	20365	9605
1359	20372	9587
1360	20379	9568
1361	20385	9549
1362	20393	9531
1363	20402	9513
1364	20413	9496
1365	20424	9479
1366	20433	9461
1367	20442	9443
1368	20449	9425
1369	20456	9406
1370	20468	9390
1371	20481	9374
1372	20487	9356
1373	20494	9337
1374	20499	9317
1375	20504	9298
1376	20511	9280
1377	20518	9261
1378	20525	9243
1379	20531	9224
1380	20539	9206
1381	20547	9188
1382	20555	9170
1383	20565	9153
1384	20576	9136
1385	20584	9118
1386	20596	9102
1387	20606	9086
1388	20616	9068
1389	20627	9052
1390	20638	9035
1391	20651	9020
1392	20664	9004
1393	20677	8989
1394	20689	8972
1395	20698	8955
1396	20709	8939
1397	20721	8922
1398	20733	8907
1399	20747	8891
1400	20762	8876
1401	20775	8861
1402	20789	8846
1403	20801	8830
1404	20814	8814
