group_id,x,y,w,h,FID_Soil25,soilgroup,fertility,texture_to,OBJECTID,Id,sugar,cassava,maize,rice,water_code,crop_type
15322,101.49453844827813,13.66888787205904,0.01,0.01,175.0,35Bb,ต่ำ,ดินร่วนปนทราย,"16343.0,16343.0,16343.0,16343.0,351369.0,351369.0,351373.0,351369.0,351373.0,351369.0,351373.0,351369.0,351373.0,351369.0,351373.0,351369.0,3853.0,3853.0,3853.0","18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.0,4.0,0.0,12.0,"2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0","A0204,A0204,A0204,A0204,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0204,A0204,A0204"
15323,101.50453844827814,13.66888787205904,0.01,0.01,"175.0,354.0","35Bb,33","ต่ำ,ปานกลาง","ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง","9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9824.0,9824.0,9820.0,16343.0,9824.0,16343.0,9824.0,16343.0,9824.0,16343.0,16340.0,9820.0,9824.0,3853.0,3853.0,3853.0","18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0",3.0,26.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15324,101.51453844827815,13.66888787205904,0.01,0.01,"174.0,175.0,354.0","35B,35Bb,33","ต่ำ,ต่ำ,ปานกลาง","ดินร่วนปนทราย,ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง","16343.0,16343.0,16343.0,16343.0,351371.0,351371.0,351371.0,351371.0,351371.0,351371.0,3853.0,3853.0,3853.0","18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.0,4.0,0.0,6.0,"2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0","A0204,A0204,A0204,A0204,A0102,A0102,A0102,A0102,A0102,A0102,A0204,A0204,A0204"
15326,101.53453844827816,13.66888787205904,0.01,0.01,"174.0,175.0,354.0","35B,35Bb,33","ต่ำ,ต่ำ,ปานกลาง","ดินร่วนปนทราย,ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง","1462.0,1462.0,1462.0,1462.0,1462.0,1461.0,1462.0,1462.0,1462.0,1462.0,1462.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",11.0,0.0,0.0,0.0,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15327,101.54453844827816,13.66888787205904,0.01,0.01,"139.0,174.0,354.0","44B,35B,33","ต่ำ,ต่ำ,ปานกลาง","ดินทรายปนดินร่วน,ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง","9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0","18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0",0.0,9.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15328,101.55453844827817,13.66888787205904,0.01,0.01,"139.0,174.0,354.0","44B,35B,33","ต่ำ,ต่ำ,ปานกลาง","ดินทรายปนดินร่วน,ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง","9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0","18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0",0.0,9.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15329,101.56453844827817,13.66888787205904,0.01,0.01,"139.0,174.0,308.0,354.0","44B,35B,17,33","ต่ำ,ต่ำ,ต่ำ,ปานกลาง","ดินทรายปนดินร่วน,ดินร่วนปนทราย,ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง","1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10.0,0.0,0.0,0.0,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15335,101.6245384482782,13.66888787205904,0.01,0.01,"354.0,465.0","33,56B","ปานกลาง,ต่ำ","ดินร่วนปนทรายแป้ง,ดินร่วนปนทราย","1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10.0,0.0,0.0,0.0,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15345,101.72453844827825,13.66888787205904,0.01,0.01,"461.0,981.0","56B,48C","ต่ำ,ปานกลาง","ดินร่วนปนทรายปนกรวด,ดินร่วนปนทรายปนกรวด","1871.0,1871.0,1871.0,1871.0,1871.0,1871.0,1871.0,1871.0,1871.0,1871.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10.0,0.0,0.0,0.0,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15371,100.95453844827786,13.67888787205904,0.01,0.01,43.0,3,ปานกลาง,ดินเหนียว,351276.0,0.0,0.0,0.0,0.0,1.0,1.0,A0102
15396,101.20453844827799,13.67888787205904,0.01,0.01,"96.0,158.0","3,11","ปานกลาง,ปานกลาง","ดินเหนียว,ดินร่วนปนดินเหนียว","351207.0,351209.0","0.0,0.0",0.0,0.0,0.0,2.0,"2.0,2.0","A0102,A0102"
15397,101.21453844827799,13.67888787205904,0.01,0.01,158.0,11,ปานกลาง,ดินร่วนปนดินเหนียว,"351209.0,351204.0,351204.0","0.0,0.0,0.0",0.0,0.0,0.0,3.0,"2.0,2.0,2.0","A0102,A0102,A0102"
15398,101.224538448278,13.67888787205904,0.01,0.01,"158.0,777.0","11,11","ปานกลาง,ปานกลาง","ดินร่วนปนดินเหนียว,ดินเหนียว","351199.0,351199.0","0.0,0.0",0.0,0.0,0.0,2.0,"2.0,2.0","A0102,A0102"
15399,101.234538448278,13.67888787205904,0.01,0.01,777.0,11,ปานกลาง,ดินเหนียว,"351199.0,351199.0","0.0,0.0",0.0,0.0,0.0,2.0,"2.0,2.0","A0102,A0102"
15400,101.244538448278,13.67888787205904,0.01,0.01,"489.0,777.0","2,11","ปานกลาง,ปานกลาง","ดินเหนียว,ดินเหนียว","351205.0,351205.0,351201.0,351205.0,351205.0","0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,5.0,"2.0,2.0,2.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102"
15401,101.25453844827801,13.67888787205904,0.01,0.01,"489.0,777.0,489.0","2,11,2","ปานกลาง,ปานกลาง,ปานกลาง","ดินเหนียว,ดินเหนียว,ดินเหนียว","351200.0,351205.0,351200.0,351205.0,351205.0,351205.0","0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,6.0,"2.0,2.0,2.0,2.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102,A0102"
